Hour,2019 kwh
399,4367321.0
400,4318371.0
401,4324437.0
402,4448683.0
403,4509382.0
404,4486034.0
405,4397986.0
406,4238629.0
407,3980555.0
408,3741830.0
409,3581909.0
410,3500011.0
411,3435369.0
412,3445678.0
413,3511144.0
414,3720672.0
415,4072504.0
416,4352847.0
417,4380771.0
418,4386462.0
419,4367850.0
420,4302854.0
421,4281785.0
422,4277052.0
423,4213666.0
424,4143787.0
425,4146245.0
426,4290358.0
427,4338065.0
428,4315231.0
429,4238408.0
430,4098791.0
431,3869498.0
432,3647818.0
433,3498994.0
434,3415822.0
435,3359243.0
436,3349584.0
437,3358063.0
438,3448630.0
439,3605424.0
440,3791546.0
441,3880830.0
442,3955007.0
443,4021509.0
444,3985721.0
445,3996874.0
446,3941364.0
447,3904982.0
448,3856947.0
449,3915437.0
450,4107525.0
451,4256730.0
452,4204586.0
453,4153379.0
454,4012322.0
455,3837958.0
456,3642748.0
457,3531915.0
458,3478785.0
459,3431333.0
460,3432230.0
461,3445285.0
462,3508291.0
463,3631661.0
464,3815382.0
465,3868810.0
466,3903066.0
467,3899600.0
468,3896409.0
469,3921597.0
470,3916658.0
471,3910240.0
472,3912946.0
473,3969234.0
474,4174894.0
475,4408090.0
476,4415878.0
477,4369230.0
478,4278286.0
479,4097694.0
480,3968413.0
481,3853338.0
482,3790086.0
483,3795610.0
484,3830913.0
485,3889530.0
486,4100787.0
487,4428704.0
488,4693409.0
489,4756081.0
490,4801176.0
491,4780249.0
492,4730309.0
493,4674892.0
494,4644074.0
495,4568678.0
496,4506111.0
497,4485082.0
498,4645235.0
499,4853179.0
500,4827799.0
501,4773395.0
502,4616662.0
503,4363889.0
504,4160950.0
505,4025535.0
506,3952345.0
507,3922230.0
508,3904239.0
509,3976134.0
510,4191230.0
511,4521240.0
512,4763541.0
513,4784187.0
514,4750208.0
515,4745147.0
516,4678089.0
517,4637035.0
518,4634982.0
519,4596428.0
520,4555991.0
521,4549523.0
522,4655908.0
523,4744070.0
524,4704345.0
525,4579302.0
526,4403412.0
527,4121450.0
528,3876438.0
529,3729783.0
530,3649556.0
531,3581238.0
532,3582705.0
533,3621184.0
534,3838718.0
535,4151449.0
536,4381494.0
537,4440439.0
538,4461245.0
539,4479282.0
540,4466638.0
541,4443869.0
542,4447717.0
543,4376805.0
544,4340570.0
545,4366038.0
546,4445228.0
547,4578637.0
548,4546598.0
549,4470893.0
550,4305255.0
551,4038490.0
552,3820263.0
553,3677886.0
554,3634219.0
555,3562088.0
556,3559760.0
557,3653185.0
558,3834034.0
559,4209916.0
560,4469725.0
561,4524402.0
562,4525437.0
563,4528785.0
564,4498004.0
565,4486755.0
566,4482674.0
567,4443142.0
568,4429923.0
569,4406413.0
570,4526911.0
571,4651733.0
572,4640722.0
573,4561515.0
574,4381422.0
575,4146739.0
576,3960271.0
577,3834350.0
578,3757617.0
579,3731491.0
580,3742277.0
581,3820548.0
582,4014185.0
583,4315048.0
584,4550551.0
585,4583090.0
586,4617477.0
587,4641272.0
588,4662987.0
589,4566363.0
590,4572457.0
591,4501856.0
592,4491649.0
593,4496201.0
594,4598679.0
595,4729134.0
596,4638801.0
597,4579157.0
598,4426639.0
599,4174495.0
600,3922001.0
601,3759178.0
602,3687100.0
603,3623066.0
604,3610586.0
605,3659484.0
606,3737875.0
607,3856013.0
608,4043291.0
609,4126203.0
610,4175500.0
611,4162168.0
612,4132082.0
613,4071128.0
614,4024450.0
615,3958401.0
616,3923174.0
617,4001680.0
618,4128786.0
619,4282251.0
620,4240546.0
621,4194697.0
622,4042924.0
623,3867133.0
624,3711452.0
625,3561584.0
626,3484437.0
627,3421043.0
628,3406299.0
629,3417276.0
630,3476240.0
631,3576972.0
632,3758641.0
633,3838998.0
634,3908583.0
635,3949137.0
636,3961671.0
637,3970893.0
638,3970088.0
639,3978762.0
640,3945914.0
641,4003189.0
642,4149897.0
643,4420366.0
644,4383767.0
645,4363443.0
646,4278042.0
647,4097332.0
648,4009931.0
649,3885547.0
650,3840655.0
651,3828712.0
652,3823620.0
653,3917681.0
654,4124028.0
655,4427135.0
656,4690320.0
657,4767482.0
658,4836283.0
659,4843172.0
660,4823159.0
661,4808333.0
