Hour,DTE 2019 kWh,CE 2019 kWh,CE+DTE 2019 kWh,Zone 7 Overall 2019 kWh
1,4295735.29,3115839.0,7411574.29,8444842.512599254
2,4158898.77,3025826.0,7184724.77,8186367.2689464325
3,4038122.58,2945866.0,6983988.58,7957645.887388346
4,3955289.62,2899227.0,6854516.62,7810123.880697707
5,3921134.33,2900468.0,6821602.33,7772620.917819894
6,3992835.6,2960049.0,6952884.6,7922205.61487169
7,4090549.04,3061090.0,7151639.04,8148668.965140538
8,4188870.04,3176957.0,7365827.04,8392717.511011433
9,4194629.58,3249609.0,7444238.58,8482060.622280493
10,4325154.36,3330483.0,7655637.36,8722931.0952196
11,4453241.83,3458449.0,7911690.83,9014681.692912733
12,4613501.41,3518179.0,8131680.41,9265340.633216338
13,4706996.0,3566742.0,8273738.0,9427202.867652552
14,4779665.96,3565633.0,8345298.96,9508740.340476077
15,4818772.19,3584016.0,8402788.190000001,9574244.304212319
16,4872167.04,3591400.0,8463567.04,9643496.503038604
17,5007501.28,3684180.0,8691681.280000001,9903412.78483051
18,5152368.14,3931852.0,9084220.14,10350676.581032066
19,5260142.3,4003464.0,9263606.3,10555071.465420377
20,5211806.31,3966089.0,9177895.309999999,10457411.267488396
21,5093831.63,3910116.0,9003947.629999999,10259213.056750093
22,4989928.2,3809369.0,8799297.2,10026031.740087379
23,4780765.03,3596653.0,8377418.03,9545337.219517974
24,4560521.03,3475420.0,8035941.03,9156253.95949241
25,4446264.17,3364719.0,7810983.17,8899934.09743091
26,4334699.8,3318150.0,7652849.8,8719754.913713036
27,4292952.94,3268550.0,7561502.94,8615673.133441161
28,4273743.6,3287931.0,7561674.6,8615868.725040056
29,4398950.26,3370687.0,7769637.26,8852824.03891592
30,4685636.149999999,3601065.0,8286701.149999999,9441973.246513208
31,5063606.58,3912830.0,8976436.58,10227866.6146157
32,5412541.95,4189257.0,9601798.95,10940412.495061273
33,5617052.67,4336820.0,9953872.67,11341569.793347623
34,5726880.68,4396023.0,10122903.68,11534165.887421934
35,5822691.3,4412275.0,10234966.3,11661851.469515622
36,5847300.58,4438891.0,10286191.58,11720218.208529148
37,5869096.17,4443961.0,10313057.17,11750829.205286501
38,5873693.87,4448923.0,10322616.870000001,11761721.649699643
39,5846259.19,4385399.0,10231658.190000001,11658082.166683152
40,5831657.350000001,4354003.0,10185660.350000001,11605671.639645215
41,5839627.54,4404389.0,10244016.54,11672163.428690655
42,6026049.74,4543293.0,10569342.74,12042844.260687333
43,5980206.03,4544496.0,10524702.030000001,11991980.06492406
44,5844371.42,4503514.0,10347885.42,11790512.95866077
45,5733420.81,4391042.0,10124462.809999999,11535942.380079428
46,5542109.52,4264855.0,9806964.52,11174180.768826718
47,5228766.03,4016320.0,9245086.030000001,10533969.232976748
48,4966193.33,3792044.0,8758237.33,9979247.59920578
49,4740371.75,3627790.0,8368161.75,9534790.495732449
50,4646988.07,3541675.0,8188663.07,9330267.404617425
51,4568365.98,3479473.0,8047838.98,9169810.635853104
52,4544181.95,3466845.0,8011026.95,9127866.53818164
53,4629584.75,3505896.0,8135480.75,9269670.789204607
54,4827328.7,3728059.0,8555387.7,9748118.137088625
55,5140207.95,4021080.0,9161287.95,10438488.629157797
56,5400954.11,4258268.0,9659222.11,11005841.177794721
57,5482573.7,4319622.0,9802195.7,11168747.11434318
58,5613785.98,4376374.0,9990159.98,11382916.018341864
59,5717144.98,4366971.0,10084115.98,11489970.68609097
60,5730762.59,4339482.0,10070244.59,11474165.44696129
61,5643234.32,4338996.0,9982230.32,11373880.862346893
62,5628283.76,4280196.0,9908479.76,11289848.531286497
63,5584532.03,4239932.0,9824464.030000001,11194119.934274612
64,5463784.24,4169966.0,9633750.24,10976818.203425884
65,5489352.62,4154301.0,9643653.620000001,10988102.241225421
66,5752122.75,4344936.0,10097058.75,11504717.843719041
67,5858344.13,4429712.0,10288056.129999999,11722342.700639833
68,5826788.64,4403884.0,10230672.64,11656959.218411619
69,5724003.75,4353875.0,10077878.75,11482863.90647791
70,5513948.32,4229399.0,9743347.32,11101694.517718451
71,5210155.93,3993358.0,9203513.93,10486601.450683622
72,4913202.39,3756504.0,8669706.39,9878374.31418709
73,4693776.03,3597465.0,8291241.03,9447146.043833453
74,4576592.85,3511079.0,8087671.85,9215196.71724592
75,4500809.39,3445854.0,7946663.39,9054529.874946192
76,4494308.76,3420789.0,7915097.76,9018563.592516743
77,4554393.32,3507507.0,8061900.32,9185832.306441542
78,4743847.76,3697923.0,8441770.76,9618661.542912945
79,5145144.07,3989083.0,9134227.07,10407655.116477411
80,5459009.26,4241847.0,9700856.26,11053279.660651233
81,5543897.32,4260065.0,9803962.32,11170760.023759706
82,5618258.45,4261449.0,9879707.45,11257064.99338126
83,5606154.29,4246321.0,9852475.29,11226036.322078837
84,5568570.32,4203344.0,9771914.32,11134244.122784533
85,5460839.73,4127469.0,9588308.73,10925041.565903345
86,5416157.95,4089314.0,9505471.95,10830656.279595861
87,5339885.28,3996722.0,9336607.280000001,10638249.715444423
88,5270477.970000001,3920511.0,9190988.97,10472330.351111794
89,5220618.84,3927036.0,9147654.84,10422954.889306834
90,5486155.97,4088805.0,9574960.969999999,10909832.957490949
91,5607590.47,4182564.0,9790154.469999999,11155027.182918463
92,5545058.100000001,4152333.0,9697391.100000001,11049331.413040679
93,5441485.89,4092908.0,9534393.89,10863610.307836311
94,5256567.82,3989162.0,9245729.82,10534702.775534434
95,5044511.9,3802547.0,8847058.9,10080452.031762553
96,4793737.14,3571707.0,8365444.14,9531694.016150286
97,4548405.16,3408356.0,7956761.16,9066035.403197255
98,4422423.82,3308798.0,7731221.82,8809052.995388782
99,4337402.5,3256010.0,7593412.5,8652031.2941102
100,4279193.01,3237198.0,7516391.01,8564272.023584729
101,4283923.47,3257891.0,7541814.47,8593239.838980582
102,4413088.43,3337335.0,7750423.43,8830931.555340227
103,4585463.93,3484392.0,8069855.93,9194897.030198315
104,4761468.25,3617596.0,8379064.25,9547212.943635028
105,4830653.26,3673538.0,8504191.26,9689784.258739855
106,4892481.27,3732703.0,8625184.27,9827645.24138614
107,4949162.71,3747363.0,8696525.71,9908932.59031482
108,4883027.14,3726371.0,8609398.14,9809658.323018031
109,4785015.12,3650660.0,8435675.120000001,9611716.092756297
110,4737840.93,3588851.0,8326691.93,9487539.252579108
111,4682533.42,3542885.0,8225418.42,9372146.920372162
112,4597415.46,3510935.0,8108350.46,9238758.189882722
113,4698455.28,3552647.0,8251102.28,9401411.438857567
114,4999715.97,3799579.0,8799294.969999999,10026029.199196866
115,5184371.09,3919130.0,9103501.09,10372645.541993974
116,5132091.71,3860995.0,8993086.71,10246837.98563117
117,5050575.34,3781755.0,8832330.34,10063670.122174844
118,4887621.81,3638806.0,8526427.809999999,9715120.868132936
119,4703853.38,3475566.0,8179419.38,9319735.02603888
120,4468116.85,3295170.0,7763286.85,8845588.300563704
121,4291394.18,3144195.0,7435589.18,8472205.385326715
122,4190016.49,3056622.0,7246638.49,8256912.553161506
123,4077199.71,2997408.0,7074607.71,8060898.48279325
124,4017228.31,2973527.0,6990755.3100000005,7965355.9860717505
125,3994128.73,2974600.0,6968728.73,7940258.619181407
126,4113528.49,3050779.0,7164307.49,8163103.559053075
127,4216997.04,3182960.0,7399957.04,8431605.669407671
128,4336920.18,3339980.0,7676900.18,8747158.224200282
129,4420018.88,3387813.0,7807831.88,8896343.477311587
130,4491246.43,3416087.0,7907333.43,9009716.815637732
131,4544391.59,3467516.0,8011907.59,9128869.950657763
132,4612606.28,3495310.0,8107916.28,9238263.479639169
133,4611320.5,3514137.0,8125457.5,9258250.169994377
134,4616607.36,3504281.0,8120888.36,9253044.033456007
135,4549888.55,3481626.0,8031514.55,9151210.371582132
136,4580184.86,3466798.0,8046982.86,9168835.161778502
