Hour,DTE 2019 kWh,CE 2019 kWh,CE+DTE 2019 kWh,Zone 7 Overall 2019 kWh
5355,4885081.87,3703644.0,8588725.870000001,9786104.074258294
5356,4781351.72,3705882.0,8487233.719999999,9670462.62083975
5357,4848873.16,3850289.0,8699162.16,9911936.595155247
5358,5132086.69,4125078.0,9257164.690000001,10547731.812622054
5359,5518031.7,4397492.0,9915523.7,11297874.486588389
5360,5812165.16,4648037.0,10460202.16,11918488.08833171
5361,6167385.61,4974435.0,11141820.61,12695132.865636101
5362,6616647.97,5298588.0,11915235.969999999,13576372.21593684
5363,7132103.58,5555266.0,12687369.58,14456151.123898746
5364,7663068.79,5740353.0,13403421.79,15272030.16762734
5365,8036318.39,5890701.0,13927019.39,15868623.967940575
5366,8255152.77,6073527.0,14328679.77,16326280.940660572
5367,8535027.65,6164394.0,14699421.65,16748708.979147516
5368,8674141.21,6230691.0,14904832.21,16982756.39765148
5369,8806516.66,6140356.0,14946872.66,17030657.823923063
5370,8762922.49,5958987.0,14721909.49,16774331.911579667
5371,8502431.19,5780945.0,14283376.19,16274661.462343644
5372,8228516.989999999,5660674.0,13889190.989999998,15825521.8052955
5373,7951828.97,5582878.0,13534706.969999999,15421618.180370346
5374,7621027.08,5252687.0,12873714.08,14668474.429854443
5375,7034198.03,4819705.0,11853903.030000001,13506488.679879794
5376,6697288.85,4491235.0,11188523.85,12748347.134453492
5377,6255590.76,4248918.0,10504508.76,11968971.594888955
5378,5695297.2,4089806.0,9785103.2,11149271.701293437
5379,5406927.8,3978060.0,9384987.8,10693375.09854001
5380,5275740.95,3958996.0,9234736.95,10522177.358898358
5381,5295917.9,4062395.0,9358312.9,10662981.376406876
5382,5472781.58,4282149.0,9754930.58,11114892.632269427
5383,5932078.06,4481874.0,10413952.059999999,11865790.1330243
5384,6150173.140000001,4702004.0,10852177.14,12365109.39245133
5385,6375163.8100000005,4892645.0,11267808.81,12838685.43163836
5386,6532590.6,5048789.0,11581379.6,13195971.999172898
5387,6751077.56,5212123.0,11963200.559999999,13631023.683072222
5388,6991281.39,5363501.0,12354782.39,14077197.027054913
5389,7300530.17,5592058.0,12892588.17,14689979.80933012
5390,7798663.77,5781907.0,13580570.77,15473875.98051841
5391,8129382.670000001,5944091.0,14073473.670000002,16035495.847180163
5392,8391496.45,6016183.0,14407679.45,16416294.186165763
5393,8589618.49,6016091.0,14605709.49,16641932.145812219
5394,8499696.86,5825929.0,14325625.86,16322801.276558377
5395,8156135.77,5581679.0,13737814.77,15653041.804686539
5396,7810140.14,5388452.0,13198592.14,15038644.645405069
5397,7463350.24,5280071.0,12743421.24,14520017.10199579
5398,7143071.74,4962987.0,12106058.74,13793798.11999102
5399,6657361.42,4532111.0,11189472.42,12749427.947240189
5400,6078968.03,4209504.0,10288472.030000001,11722816.582417656
5401,5519393.73,3999941.0,9519334.73,10846451.708381452
5402,5166832.350000001,3838321.0,9005153.350000001,10260586.869534787
5403,4912852.22,3737981.0,8650833.219999999,9856869.982971175
5404,4840176.98,3699710.0,8539886.98,9730456.418523852
5405,4836328.0,3827044.0,8663372.0,9871156.829227712
5406,5049680.61,4036710.0,9086390.61,10353149.642302332
5407,5373690.96,4214659.0,9588349.96,10925088.543892525
5408,5619482.43,4407810.0,10027292.43,11425225.206658311
5409,5957208.42,4612865.0,10570073.42,12043676.806822022
5410,6295916.09,4792869.0,11088785.09,12634703.516020313
5411,6572768.4,4971639.0,11544407.4,13153845.401755452
5412,6883601.11,5102394.0,11985995.11,13656996.084800059
