Hour,DTE 2019 kWh
339,4546045.65
340,4545666.109999999
341,4607984.66
342,4868203.6
343,5341208.13
344,5687578.15
345,5770011.98
346,5859788.08
347,5938819.03
348,5943265.9799999995
349,5945600.859999999
350,5954093.91
351,5919630.53
352,5872648.55
353,5879125.91
354,6047667.36
355,6108469.069999999
356,6074139.5
357,5988375.31
358,5733204.720000001
359,5385522.22
360,5051040.21
361,4826015.46
362,4684523.72
363,4594718.97
364,4569824.319999999
365,4635489.83
366,4882080.95
367,5331124.9799999995
368,5694494.9399999995
369,5819718.56
370,5895284.0200000005
371,5955302.0
372,5982047.92
373,5901966.45
374,5886351.17
375,5785440.38
376,5720029.1899999995
377,5713051.100000001
378,5941411.58
379,6081394.68
380,6059919.26
381,5935917.17
382,5726359.07
383,5448633.34
384,5165570.01
385,4995662.510000001
386,4824032.51
387,4765845.24
388,4745184.34
389,4792293.88
390,5037784.87
391,5489414.93
392,5845266.44
393,5878241.44
394,5967467.26
395,6004238.79
396,5995645.970000001
397,6023480.7
398,6018273.850000001
399,5964486.55
400,5876138.5200000005
401,5843732.82
402,6051676.61
403,6098426.42
404,6035692.66
405,5914531.54
406,5721311.49
407,5310133.64
408,5016323.48
409,4801911.29
410,4654378.71
411,4630335.07
412,4585619.25
413,4622031.19
414,4871075.37
415,5302250.13
416,5671137.53
417,5781480.1
418,5838212.779999999
419,5937817.1
420,5955828.09
421,5947514.91
422,5991162.54
423,5882478.76
424,5743428.79
425,5700765.33
426,5800858.92
427,5907539.95
428,5821791.04
429,5716081.03
430,5573177.67
431,5333746.47
432,5017656.94
433,4803467.33
434,4670791.35
435,4606427.29
436,4563040.0
437,4610765.08
438,4667512.43
439,4813953.86
440,5030735.510000001
441,5193364.03
442,5350947.87
443,5430993.95
444,5502380.5
445,5437860.0200000005
446,5424039.2
447,5413080.66
448,5403349.28
449,5445036.7
450,5622413.45
451,5745777.24
452,5716337.609999999
453,5638477.18
454,5461358.7
455,5219410.02
456,5005133.47
457,4808837.0600000005
458,4738969.15
459,4642486.48
460,4586542.82
461,4664925.05
462,4722479.57
463,4836119.65
464,4960857.6
465,5049649.55
466,5166582.69
467,5232088.75
468,5257416.28
469,5299939.82
470,5292040.14
471,5273470.96
472,5336371.91
473,5406783.7
474,5661075.97
475,5893028.37
476,5851730.56
477,5759578.55
478,5616855.76
479,5453787.93
480,5236302.36
481,5105107.58
482,5030296.2
483,4978766.08
484,4969868.66
485,5043169.25
486,5302352.16
487,5645037.38
488,5942423.67
489,6006899.83
490,6095082.34
491,6156876.64
492,6123370.04
493,6092833.25
494,6066966.14
495,5969728.78
496,5898008.47
497,5884679.78
498,6096648.04
499,6287110.45
500,6244911.91
501,6158757.46
502,5935217.64
503,5623822.2700000005
504,5351611.93
505,5197436.68
506,5127139.68
507,5052819.19
508,5051266.44
509,5109798.14
510,5340984.39
511,5799676.85
512,6104775.23
513,6156613.24
514,6224811.84
515,6285683.01
516,6236695.54
517,6196717.15
518,6165357.4799999995
519,6104377.73
520,6089749.3
521,6105341.7
522,6249605.680000001
523,6331412.46
524,6211006.25
525,6075493.41
526,5838188.7
527,5474322.71
528,5164293.84
529,4918094.04
530,4802877.65
531,4713314.4399999995
532,4668760.92
533,4730058.51
534,4941657.09
535,5271637.54
536,5592019.67
537,5710718.24
538,5824913.8
539,5954568.66
540,5944387.67
541,5941518.87
542,5943744.33
543,5870297.32
544,5754341.94
545,5742058.52
546,5902060.18
547,5998787.87
548,5932118.25
