Timestamp,Hour,DTE Res kWh,DTE Com kWh,Ann Arbor Res kWh,Ann Arbor Com kWh
2018-01-01 00:00:00,1.0,2214088.0,1933590.0,168448.90315216852,76434.78648422551
2018-01-01 01:00:00,2.0,2090761.0,1925211.0,159066.12438319117,76103.56472782869
2018-01-01 02:00:00,3.0,1973113.0,1919973.0,150115.40672515487,75896.50665884593
2018-01-01 03:00:00,4.0,1912933.0,1922423.0,145536.88274973133,75993.35512562863
2018-01-01 04:00:00,5.0,1883448.0,1927259.0,143293.64945934646,76184.52214006174
2018-01-01 05:00:00,6.0,1871870.0,1960130.0,142412.78952934558,77483.91232439398
2018-01-01 06:00:00,7.0,1921563.0,2003474.0,146193.45739093947,79197.3000567324
2018-01-01 07:00:00,8.0,1962381.0,2033194.0,149298.91089092015,80372.13125378617
2018-01-01 08:00:00,9.0,2069620.0,1977702.0,157457.7067134599,78178.53324615133
2018-01-01 09:00:00,10.0,2213410.0,1995509.0,168397.32057896585,78882.44371472254
2018-01-01 10:00:00,11.0,2320617.0,2021309.0,176553.6818257792,79902.31736492399
2018-01-01 11:00:00,12.0,2367206.0,2017346.0,180098.19584191425,79745.66002865467
2018-01-01 12:00:00,13.0,2412132.0,2014938.0,183516.18800076898,79650.47182130255
2018-01-01 13:00:00,14.0,2410760.0,2007611.0,183411.8055665004,79360.83561064262
2018-01-01 14:00:00,15.0,2395878.0,1985107.0,182279.57569275078,78471.25279575372
2018-01-01 15:00:00,16.0,2409284.0,1978968.0,183299.51076112114,78228.5782089868
2018-01-01 16:00:00,17.0,2511840.0,1978918.0,191102.02164220344,78226.60170966471
2018-01-01 17:00:00,18.0,2778703.0,2063504.0,211405.08983185858,81570.28514284067
2018-01-01 18:00:00,19.0,2894854.0,2076623.0,220241.9149941952,82088.87903497217
2018-01-01 19:00:00,20.0,2860620.0,2070667.0,217637.37544991722,81853.4384357241
2018-01-01 20:00:00,21.0,2788875.0,2061107.0,212178.98059088166,81475.53176533939
2018-01-01 21:00:00,22.0,2662383.0,2057676.0,202555.40706646704,81339.90438185718
2018-01-01 22:00:00,23.0,2431086.0,2034058.0,184958.21763570045,80406.28516207199
2018-01-01 23:00:00,24.0,2241264.0,1992275.0,170516.46658779678,78754.60373856939
2018-01-02 00:00:00,25.0,2008939.0,2034745.0,152841.06641182024,80433.44226275758
2018-01-02 01:00:00,26.0,1910379.0,2030426.0,145342.57317456964,80262.71225131495
2018-01-02 02:00:00,27.0,1820380.0,2035827.0,138495.40502461715,80476.21370808774
2018-01-02 03:00:00,28.0,1790380.0,2055760.0,136212.99028113583,81264.16492783446
2018-01-02 04:00:00,29.0,1783219.0,2119592.0,135668.17788186684,83787.44302239489
2018-01-02 05:00:00,30.0,1859984.0,2234973.0,141508.49680797828,88348.45238804966
